Time (s); Distance (mm); Speed (mm/s); Z-Angle (mdps); Distance corrected (mm); Target Speed; PWM Value
8.35938; 2935.81838; 1745.32928; 190.75332; 2825.86263; 1620.42668;   400
8.36643; 2946.81395; 1607.07022; 208.05709; 2847.85378; 1631.05105;   674
8.37421; 2957.80953; 1394.84644; 234.58127; 2858.84936; 1536.07402;   915
8.38090; 2968.80510; 1667.51205; 191.81562; 2858.84936; 1698.70057;   410
8.38723; 2979.80068; 1699.73326; 184.83333; 2880.84051; 1563.94276;   612
8.39501; 2990.79625; 1388.68078; 219.32856; 2891.83608; 1563.94276;   880
8.40207; 3001.79182; 1590.79491; 191.67413; 2891.83608; 1699.32743;   540
8.40877; 3012.78740; 1646.53705; 186.96275; 2913.82723; 1638.33342;   661
8.41510; 3023.78297; 1740.90792; 177.21743; 2913.82723; 1641.21632;   492
8.42177; 3034.77855; 1675.38846; 188.68376; 2924.82280; 1662.33696;   609
8.42810; 3045.77412; 1657.95755; 190.30333; 2935.81838; 1695.31962;   634
8.43479; 3056.76970; 1697.63385; 185.82731; 2946.81395; 1629.24768;   610
8.44113; 3067.76527; 1698.15822; 185.46077; 2957.80953; 1656.07110;   554
8.44782; 3078.76085; 1649.99617; 191.91892; 2968.80510; 1698.24335;   644
8.45452; 3089.75642; 1662.97254; 192.44972; 2979.80068; 1582.94899;   655
8.46157; 3100.75199; 1591.02510; 202.94532; 2990.79625; 1651.46468;   636
8.46754; 3111.74757; 1748.66006; 183.00682; 3001.79182; 1612.63499;   473
8.47423; 3122.74314; 1650.49151; 190.04027; 3012.78740; 1633.24841;   614
8.48093; 3133.73872; 1647.03033; 186.94395; 3023.78297; 1653.62090;   610
8.48762; 3144.73429; 1712.70630; 174.02019; 3034.77855; 1602.53301;   543
8.49393; 3155.72987; 1703.94769; 172.20590; 3045.77412; 1546.55196;   522
8.50064; 3166.72544; 1633.57220; 177.56514; 3056.76970; 1617.04888;   554
8.50734; 3177.72102; 1640.15132; 176.45009; 3067.76527; 1546.55196;   595
8.51439; 3188.71659; 1537.84258; 191.05936; 3078.76085; 1621.91462;   658
8.52109; 3199.71216; 1704.47596; 174.52936; 3089.75642; 1600.92371;   487
8.52742; 3210.70774; 1666.50113; 180.37032; 3100.75199; 1604.26199;   566
8.53411; 3221.70331; 1702.10131; 180.46104; 3111.74757; 1592.15690;   510
8.54046; 3232.69889; 1714.04122; 181.95550; 3122.74314; 1540.21759;   492
8.54716; 3243.69446; 1594.94843; 199.01457; 3133.73872; 1583.51608;   598
8.55494; 3254.69004; 1423.19110; 224.09006; 3144.73429; 1571.61990;   823
8.56199; 3265.68561; 1602.38625; 200.30235; 3155.72987; 1540.21759;   537
8.56868; 3276.68119; 1651.48310; 197.56097; 3166.72544; 1624.34786;   491
8.57537; 3287.67676; 1622.24468; 202.93939; 3177.72102; 1610.38446;   628
8.58351; 3298.67234; 1352.80197; 245.81100; 3188.71659; 1500.57657;   944
8.59101; 3309.66791; 1557.88813; 212.87583; 3199.71216; 1612.48483;   507
8.59698; 3320.66348; 1704.74022; 191.57382; 3210.70774; 1699.77224;   477
8.60368; 3331.65906; 1620.09348; 199.19327; 3221.70331; 1666.94579;   724
8.61073; 3342.65463; 1582.55245; 203.65034; 3232.69889; 1648.60358;   715
8.61706; 3353.65021; 1692.66848; 189.70149; 3243.69446; 1708.13994;   541
8.62411; 3364.64578; 1566.32115; 205.21604; 3254.69004; 1642.30252;   799
8.63080; 3375.64136; 1691.62684; 190.38210; 3265.68561; 1705.08390;   534
8.63713; 3386.63693; 1684.37109; 195.39703; 3276.68119; 1683.06093;   644
8.64384; 3397.63251; 1689.28782; 197.48550; 3287.67676; 1674.13781;   613
8.65017; 3408.62808; 1737.05758; 190.61644; 3298.67234; 1704.03551;   542
8.65650; 3419.62365; 1699.47055; 189.22281; 3309.66791; 1710.29909;   637
8.66320; 3430.61923; 1639.90670; 183.31407; 3320.66348; 1737.64442;   709
8.66953; 3441.61480; 1706.85726; 162.85660; 3331.65906; 1843.55512;   631
8.67660; 3452.61038; 1602.85342; 158.35695; 3342.65463; 1869.56363;   893
8.68258; 3463.60595; 1778.06831; 127.80188; 3353.65021; 2081.08678;   656
8.68891; 3474.60153; 1823.17600; 109.71642; 3364.64578; 2246.06847;   869
8.69452; 3485.59710; 1885.38657; 91.94592; 3375.64136; 2453.53684;   967
8.70014; 3496.59268; 2026.46046; 74.48479; 3386.63693; 2725.99480;  1008
8.70647; 3507.58825; 1735.68657; 75.84706; 3397.63251; 2701.40336;  1023
8.71244; 3518.58382; 1787.89828; 62.68175; 3408.62808; 2971.58559;  1023
8.71841; 3529.57940; 1901.69050; 48.34835; 3419.62365; 3383.51401;  1023
